Run Params: {'lr': 0.003509, 'batch_size': 27}
Epoch: 1, Train Loss: 0.162, Train Acc: 0.950
Epoch: 1, Valid Loss: 0.104, Valid Acc: 0.966
Epoch: 2, Train Loss: 0.095, Train Acc: 0.971
Epoch: 2, Valid Loss: 0.100, Valid Acc: 0.968
Epoch: 3, Train Loss: 0.083, Train Acc: 0.974
Epoch: 3, Valid Loss: 0.071, Valid Acc: 0.977
Epoch: 4, Train Loss: 0.080, Train Acc: 0.975
Epoch: 4, Valid Loss: 0.084, Valid Acc: 0.974
Epoch: 5, Train Loss: 0.075, Train Acc: 0.977
Epoch: 5, Valid Loss: 0.077, Valid Acc: 0.977
Epoch: 6, Train Loss: 0.072, Train Acc: 0.978
Epoch: 6, Valid Loss: 0.091, Valid Acc: 0.974
Epoch: 7, Train Loss: 0.072, Train Acc: 0.978
Epoch: 7, Valid Loss: 0.077, Valid Acc: 0.979
Epoch: 8, Train Loss: 0.068, Train Acc: 0.980
Epoch: 8, Valid Loss: 0.085, Valid Acc: 0.976
Epoch: 9, Train Loss: 0.069, Train Acc: 0.979
Epoch: 9, Valid Loss: 0.074, Valid Acc: 0.979
Epoch: 10, Train Loss: 0.069, Train Acc: 0.980
Epoch: 10, Valid Loss: 0.076, Valid Acc: 0.978
Epoch: 11, Train Loss: 0.068, Train Acc: 0.980
Epoch: 11, Valid Loss: 0.078, Valid Acc: 0.978
Epoch: 12, Train Loss: 0.065, Train Acc: 0.981
Epoch: 12, Valid Loss: 0.082, Valid Acc: 0.977
Epoch: 13, Train Loss: 0.067, Train Acc: 0.981
Epoch: 13, Valid Loss: 0.080, Valid Acc: 0.978
Epoch: 14, Train Loss: 0.063, Train Acc: 0.981
Epoch: 14, Valid Loss: 0.072, Valid Acc: 0.981
Epoch: 15, Train Loss: 0.065, Train Acc: 0.981
Epoch: 15, Valid Loss: 0.073, Valid Acc: 0.979
Epoch: 16, Train Loss: 0.063, Train Acc: 0.981
Epoch: 16, Valid Loss: 0.087, Valid Acc: 0.977
Epoch: 17, Train Loss: 0.064, Train Acc: 0.982
