Run Params: {'lr': 0.066424, 'batch_size': 1401}
Epoch: 1, Train Loss: 4.561, Train Acc: 0.113
Epoch: 1, Valid Loss: 2.579, Valid Acc: 0.114
Epoch: 2, Train Loss: 2.311, Train Acc: 0.112
Epoch: 2, Valid Loss: 2.579, Valid Acc: 0.114
Epoch: 3, Train Loss: 2.311, Train Acc: 0.109
Epoch: 3, Valid Loss: 2.579, Valid Acc: 0.114
valid acc:  0.1135
Run Params: {'lr': 0.000834, 'batch_size': 1031}
Epoch: 1, Train Loss: 0.709, Train Acc: 0.790
Epoch: 1, Valid Loss: 0.242, Valid Acc: 0.931
Epoch: 2, Train Loss: 0.192, Train Acc: 0.944
Epoch: 2, Valid Loss: 0.142, Valid Acc: 0.957
Epoch: 3, Train Loss: 0.131, Train Acc: 0.962
Epoch: 3, Valid Loss: 0.102, Valid Acc: 0.970
Epoch: 4, Train Loss: 0.103, Train Acc: 0.970
Epoch: 4, Valid Loss: 0.089, Valid Acc: 0.974
Epoch: 5, Train Loss: 0.088, Train Acc: 0.974
Epoch: 5, Valid Loss: 0.080, Valid Acc: 0.976
Epoch: 6, Train Loss: 0.079, Train Acc: 0.977
Epoch: 6, Valid Loss: 0.067, Valid Acc: 0.980
Epoch: 7, Train Loss: 0.072, Train Acc: 0.979
Epoch: 7, Valid Loss: 0.064, Valid Acc: 0.979
Epoch: 8, Train Loss: 0.065, Train Acc: 0.981
Epoch: 8, Valid Loss: 0.059, Valid Acc: 0.983
Epoch: 9, Train Loss: 0.061, Train Acc: 0.982
Epoch: 9, Valid Loss: 0.055, Valid Acc: 0.984
Epoch: 10, Train Loss: 0.059, Train Acc: 0.982
Epoch: 10, Valid Loss: 0.057, Valid Acc: 0.983
Epoch: 11, Train Loss: 0.055, Train Acc: 0.983
Epoch: 11, Valid Loss: 0.058, Valid Acc: 0.981
Epoch: 12, Train Loss: 0.052, Train Acc: 0.984
Epoch: 12, Valid Loss: 0.053, Valid Acc: 0.984
Epoch: 13, Train Loss: 0.049, Train Acc: 0.985
Epoch: 13, Valid Loss: 0.049, Valid Acc: 0.984
Epoch: 14, Train Loss: 0.048, Train Acc: 0.986
Epoch: 14, Valid Loss: 0.046, Valid Acc: 0.985
Epoch: 15, Train Loss: 0.048, Train Acc: 0.985
Epoch: 15, Valid Loss: 0.046, Valid Acc: 0.985
Epoch: 16, Train Loss: 0.044, Train Acc: 0.986
Epoch: 16, Valid Loss: 0.048, Valid Acc: 0.986
Epoch: 17, Train Loss: 0.042, Train Acc: 0.987
Epoch: 17, Valid Loss: 0.045, Valid Acc: 0.985
Epoch: 18, Train Loss: 0.042, Train Acc: 0.987
Epoch: 18, Valid Loss: 0.046, Valid Acc: 0.986
Epoch: 19, Train Loss: 0.043, Train Acc: 0.987
Epoch: 19, Valid Loss: 0.045, Valid Acc: 0.985
Epoch: 20, Train Loss: 0.038, Train Acc: 0.988
Epoch: 20, Valid Loss: 0.042, Valid Acc: 0.986
valid acc:  0.9859
Run Params: {'lr': 0.055263, 'batch_size': 680}
Epoch: 1, Train Loss: 1.919, Train Acc: 0.514
Epoch: 1, Valid Loss: 1.058, Valid Acc: 0.664
Epoch: 2, Train Loss: 1.236, Train Acc: 0.607
Epoch: 2, Valid Loss: 1.194, Valid Acc: 0.614
Epoch: 3, Train Loss: 1.119, Train Acc: 0.642
Epoch: 3, Valid Loss: 1.000, Valid Acc: 0.696
Epoch: 4, Train Loss: 1.279, Train Acc: 0.596
Epoch: 4, Valid Loss: 1.063, Valid Acc: 0.682
Epoch: 5, Train Loss: 0.859, Train Acc: 0.731
Epoch: 5, Valid Loss: 0.599, Valid Acc: 0.822
Epoch: 6, Train Loss: 0.504, Train Acc: 0.844
Epoch: 6, Valid Loss: 0.391, Valid Acc: 0.882
Epoch: 7, Train Loss: 0.386, Train Acc: 0.882
Epoch: 7, Valid Loss: 0.360, Valid Acc: 0.887
Epoch: 8, Train Loss: 0.358, Train Acc: 0.890
Epoch: 8, Valid Loss: 0.333, Valid Acc: 0.906
Epoch: 9, Train Loss: 0.346, Train Acc: 0.895
Epoch: 9, Valid Loss: 0.301, Valid Acc: 0.908
Epoch: 10, Train Loss: 0.307, Train Acc: 0.907
Epoch: 10, Valid Loss: 0.295, Valid Acc: 0.911
Epoch: 11, Train Loss: 0.309, Train Acc: 0.906
Epoch: 11, Valid Loss: 0.307, Valid Acc: 0.915
Epoch: 12, Train Loss: 0.328, Train Acc: 0.900
Epoch: 12, Valid Loss: 0.308, Valid Acc: 0.906
Epoch: 13, Train Loss: 0.318, Train Acc: 0.904
Epoch: 13, Valid Loss: 0.308, Valid Acc: 0.900
Epoch: 14, Train Loss: 0.314, Train Acc: 0.905
Epoch: 14, Valid Loss: 0.290, Valid Acc: 0.909
Epoch: 15, Train Loss: 0.309, Train Acc: 0.906
Epoch: 15, Valid Loss: 0.255, Valid Acc: 0.922
Epoch: 16, Train Loss: 0.301, Train Acc: 0.909
Epoch: 16, Valid Loss: 0.294, Valid Acc: 0.907
Epoch: 17, Train Loss: 0.307, Train Acc: 0.907
Epoch: 17, Valid Loss: 0.278, Valid Acc: 0.919
Epoch: 18, Train Loss: 0.310, Train Acc: 0.906
Epoch: 18, Valid Loss: 0.295, Valid Acc: 0.910
Epoch: 19, Train Loss: 0.303, Train Acc: 0.907
Epoch: 19, Valid Loss: 0.288, Valid Acc: 0.914
Epoch: 20, Train Loss: 0.302, Train Acc: 0.908
Epoch: 20, Valid Loss: 0.276, Valid Acc: 0.917
valid acc:  0.9171
Run Params: {'lr': 0.006365, 'batch_size': 202}
Epoch: 1, Train Loss: 0.291, Train Acc: 0.910
Epoch: 1, Valid Loss: 0.162, Valid Acc: 0.948
Epoch: 2, Train Loss: 0.145, Train Acc: 0.954
Epoch: 2, Valid Loss: 0.116, Valid Acc: 0.963
Epoch: 3, Train Loss: 0.116, Train Acc: 0.964
Epoch: 3, Valid Loss: 0.103, Valid Acc: 0.968
Epoch: 4, Train Loss: 0.105, Train Acc: 0.968
Epoch: 4, Valid Loss: 0.099, Valid Acc: 0.969
Epoch: 5, Train Loss: 0.104, Train Acc: 0.969
Epoch: 5, Valid Loss: 0.094, Valid Acc: 0.972
Epoch: 6, Train Loss: 0.097, Train Acc: 0.970
Epoch: 6, Valid Loss: 0.092, Valid Acc: 0.973
Epoch: 7, Train Loss: 0.092, Train Acc: 0.971
Epoch: 7, Valid Loss: 0.083, Valid Acc: 0.975
Epoch: 8, Train Loss: 0.087, Train Acc: 0.973
Epoch: 8, Valid Loss: 0.076, Valid Acc: 0.977
Epoch: 9, Train Loss: 0.088, Train Acc: 0.973
Epoch: 9, Valid Loss: 0.102, Valid Acc: 0.972
Epoch: 10, Train Loss: 0.097, Train Acc: 0.970
Epoch: 10, Valid Loss: 0.085, Valid Acc: 0.973
Epoch: 11, Train Loss: 0.082, Train Acc: 0.974
Epoch: 11, Valid Loss: 0.095, Valid Acc: 0.971
Epoch: 12, Train Loss: 0.089, Train Acc: 0.972
Epoch: 12, Valid Loss: 0.079, Valid Acc: 0.978
Epoch: 13, Train Loss: 0.079, Train Acc: 0.975
Epoch: 13, Valid Loss: 0.075, Valid Acc: 0.977
Epoch: 14, Train Loss: 0.073, Train Acc: 0.978
Epoch: 14, Valid Loss: 0.106, Valid Acc: 0.969
Epoch: 15, Train Loss: 0.073, Train Acc: 0.977
Epoch: 15, Valid Loss: 0.080, Valid Acc: 0.977
Epoch: 16, Train Loss: 0.073, Train Acc: 0.977
Epoch: 16, Valid Loss: 0.081, Valid Acc: 0.976
