Run Params: {'lr': 0.000321, 'batch_size': 598}
Epoch: 1, Train Loss: 0.881, Train Acc: 0.746
Epoch: 1, Valid Loss: 0.299, Valid Acc: 0.914
Epoch: 2, Train Loss: 0.240, Train Acc: 0.929
Epoch: 2, Valid Loss: 0.174, Valid Acc: 0.950
Epoch: 3, Train Loss: 0.163, Train Acc: 0.952
Epoch: 3, Valid Loss: 0.132, Valid Acc: 0.964
Epoch: 4, Train Loss: 0.130, Train Acc: 0.961
Epoch: 4, Valid Loss: 0.106, Valid Acc: 0.969
Epoch: 5, Train Loss: 0.110, Train Acc: 0.967
Epoch: 5, Valid Loss: 0.097, Valid Acc: 0.972
Epoch: 6, Train Loss: 0.099, Train Acc: 0.970
Epoch: 6, Valid Loss: 0.086, Valid Acc: 0.973
Epoch: 7, Train Loss: 0.088, Train Acc: 0.974
Epoch: 7, Valid Loss: 0.082, Valid Acc: 0.974
Epoch: 8, Train Loss: 0.082, Train Acc: 0.975
Epoch: 8, Valid Loss: 0.072, Valid Acc: 0.979
Epoch: 9, Train Loss: 0.075, Train Acc: 0.977
Epoch: 9, Valid Loss: 0.069, Valid Acc: 0.980
Epoch: 10, Train Loss: 0.071, Train Acc: 0.979
Epoch: 10, Valid Loss: 0.063, Valid Acc: 0.981
Epoch: 11, Train Loss: 0.067, Train Acc: 0.979
Epoch: 11, Valid Loss: 0.061, Valid Acc: 0.981
Epoch: 12, Train Loss: 0.064, Train Acc: 0.981
Epoch: 12, Valid Loss: 0.059, Valid Acc: 0.982
Epoch: 13, Train Loss: 0.061, Train Acc: 0.982
Epoch: 13, Valid Loss: 0.057, Valid Acc: 0.982
Epoch: 14, Train Loss: 0.059, Train Acc: 0.982
Epoch: 14, Valid Loss: 0.054, Valid Acc: 0.984
Epoch: 15, Train Loss: 0.056, Train Acc: 0.983
Epoch: 15, Valid Loss: 0.055, Valid Acc: 0.982
valid acc:  0.982
Run Params: {'lr': 0.052539, 'batch_size': 75}
Epoch: 1, Train Loss: 0.938, Train Acc: 0.713
Epoch: 1, Valid Loss: 0.740, Valid Acc: 0.753
Epoch: 2, Train Loss: 0.765, Train Acc: 0.748
Epoch: 2, Valid Loss: 0.726, Valid Acc: 0.752
Epoch: 3, Train Loss: 1.721, Train Acc: 0.394
Epoch: 3, Valid Loss: 1.310, Valid Acc: 0.560
valid acc:  0.5599
Run Params: {'lr': 0.000296, 'batch_size': 1413}
Epoch: 1, Train Loss: 1.469, Train Acc: 0.579
Epoch: 1, Valid Loss: 0.731, Valid Acc: 0.816
Epoch: 2, Train Loss: 0.467, Train Acc: 0.861
Epoch: 2, Valid Loss: 0.388, Valid Acc: 0.904
Epoch: 3, Train Loss: 0.298, Train Acc: 0.912
Epoch: 3, Valid Loss: 0.278, Valid Acc: 0.935
Epoch: 4, Train Loss: 0.226, Train Acc: 0.935
Epoch: 4, Valid Loss: 0.218, Valid Acc: 0.947
Epoch: 5, Train Loss: 0.184, Train Acc: 0.947
Epoch: 5, Valid Loss: 0.184, Valid Acc: 0.956
Epoch: 6, Train Loss: 0.161, Train Acc: 0.953
Epoch: 6, Valid Loss: 0.161, Valid Acc: 0.961
Epoch: 7, Train Loss: 0.139, Train Acc: 0.960
Epoch: 7, Valid Loss: 0.133, Valid Acc: 0.966
Epoch: 8, Train Loss: 0.125, Train Acc: 0.963
Epoch: 8, Valid Loss: 0.131, Valid Acc: 0.966
Epoch: 9, Train Loss: 0.116, Train Acc: 0.965
Epoch: 9, Valid Loss: 0.114, Valid Acc: 0.971
Epoch: 10, Train Loss: 0.108, Train Acc: 0.968
Epoch: 10, Valid Loss: 0.102, Valid Acc: 0.972
Epoch: 11, Train Loss: 0.099, Train Acc: 0.971
Epoch: 11, Valid Loss: 0.096, Valid Acc: 0.975
Epoch: 12, Train Loss: 0.093, Train Acc: 0.971
Epoch: 12, Valid Loss: 0.099, Valid Acc: 0.975
Epoch: 13, Train Loss: 0.090, Train Acc: 0.974
Epoch: 13, Valid Loss: 0.095, Valid Acc: 0.975
Epoch: 14, Train Loss: 0.086, Train Acc: 0.975
Epoch: 14, Valid Loss: 0.087, Valid Acc: 0.978
Epoch: 15, Train Loss: 0.082, Train Acc: 0.976
Epoch: 15, Valid Loss: 0.085, Valid Acc: 0.979
valid acc:  0.9793
Run Params: {'lr': 0.00029, 'batch_size': 960}
Epoch: 1, Train Loss: 1.257, Train Acc: 0.651
Epoch: 1, Valid Loss: 0.491, Valid Acc: 0.867
Epoch: 2, Train Loss: 0.357, Train Acc: 0.895
Epoch: 2, Valid Loss: 0.282, Valid Acc: 0.923
Epoch: 3, Train Loss: 0.235, Train Acc: 0.931
Epoch: 3, Valid Loss: 0.199, Valid Acc: 0.948
Epoch: 4, Train Loss: 0.181, Train Acc: 0.947
Epoch: 4, Valid Loss: 0.162, Valid Acc: 0.958
Epoch: 5, Train Loss: 0.152, Train Acc: 0.956
Epoch: 5, Valid Loss: 0.137, Valid Acc: 0.965
Epoch: 6, Train Loss: 0.132, Train Acc: 0.961
Epoch: 6, Valid Loss: 0.120, Valid Acc: 0.966
Epoch: 7, Train Loss: 0.120, Train Acc: 0.965
Epoch: 7, Valid Loss: 0.113, Valid Acc: 0.969
Epoch: 8, Train Loss: 0.110, Train Acc: 0.967
Epoch: 8, Valid Loss: 0.099, Valid Acc: 0.972
Epoch: 9, Train Loss: 0.101, Train Acc: 0.970
Epoch: 9, Valid Loss: 0.098, Valid Acc: 0.972
Epoch: 10, Train Loss: 0.094, Train Acc: 0.971
Epoch: 10, Valid Loss: 0.091, Valid Acc: 0.975
Epoch: 11, Train Loss: 0.089, Train Acc: 0.974
Epoch: 11, Valid Loss: 0.090, Valid Acc: 0.976
Epoch: 12, Train Loss: 0.083, Train Acc: 0.974
Epoch: 12, Valid Loss: 0.083, Valid Acc: 0.975
Epoch: 13, Train Loss: 0.079, Train Acc: 0.976
Epoch: 13, Valid Loss: 0.081, Valid Acc: 0.977
Epoch: 14, Train Loss: 0.076, Train Acc: 0.976
Epoch: 14, Valid Loss: 0.079, Valid Acc: 0.977
Epoch: 15, Train Loss: 0.073, Train Acc: 0.978
Epoch: 15, Valid Loss: 0.068, Valid Acc: 0.981
valid acc:  0.9809
Run Params: {'lr': 0.000345, 'batch_size': 1449}
Epoch: 1, Train Loss: 1.503, Train Acc: 0.591
Epoch: 1, Valid Loss: 0.658, Valid Acc: 0.808
Epoch: 2, Train Loss: 0.479, Train Acc: 0.857
Epoch: 2, Valid Loss: 0.341, Valid Acc: 0.901
Epoch: 3, Train Loss: 0.306, Train Acc: 0.911
Epoch: 3, Valid Loss: 0.245, Valid Acc: 0.930
Epoch: 4, Train Loss: 0.231, Train Acc: 0.933
Epoch: 4, Valid Loss: 0.185, Valid Acc: 0.948
Epoch: 5, Train Loss: 0.187, Train Acc: 0.946
Epoch: 5, Valid Loss: 0.161, Valid Acc: 0.955
Epoch: 6, Train Loss: 0.161, Train Acc: 0.954
Epoch: 6, Valid Loss: 0.138, Valid Acc: 0.960
Epoch: 7, Train Loss: 0.142, Train Acc: 0.958
