,function,run,seed,algo,func_val,pop_size,max_iter,best_iter
0,Ackley,1,718,NormGA,17.283936801272514,40,20,20
1,Ackley,1,718,imprvGA,19.942832404830853,40,20,20
2,Ackley,1,718,PSO,19.993869682654804,40,20,20
3,Ackley,1,718,BBO,17.35900149743572,40,20,20
4,Ackley,2,94,NormGA,19.942957607023896,40,20,20
5,Ackley,2,94,imprvGA,19.906840200358168,40,20,20
6,Ackley,2,94,PSO,19.99670368737794,40,20,20
7,Ackley,2,94,BBO,19.712964457535943,40,20,20
8,Ackley,3,794,NormGA,16.76180904057876,40,20,20
9,Ackley,3,794,imprvGA,19.767276379242936,40,20,20
10,Ackley,3,794,PSO,19.988154675812595,40,20,20
11,Ackley,3,794,BBO,18.549481221110995,40,20,20
12,Ackley,4,300,NormGA,19.866527328251188,40,20,20
13,Ackley,4,300,imprvGA,19.91220782634333,40,20,20
14,Ackley,4,300,PSO,19.98140406216019,40,20,20
15,Ackley,4,300,BBO,17.560444081889166,40,20,20
16,Ackley,5,972,NormGA,19.448478493031494,40,20,20
17,Ackley,5,972,imprvGA,19.964683047426195,40,20,20
18,Ackley,5,972,PSO,19.99693625281268,40,20,20
19,Ackley,5,972,BBO,18.507622399308918,40,20,20
20,Sphere,1,718,NormGA,414.93386491382637,40,20,20
21,Sphere,1,718,imprvGA,528.5765944674978,40,20,20
22,Sphere,1,718,PSO,907.9014188699359,40,20,20
23,Sphere,1,718,BBO,2594.0506882029454,40,20,20
24,Sphere,2,94,NormGA,930.8903150222997,40,20,20
25,Sphere,2,94,imprvGA,649.4959513548289,40,20,20
26,Sphere,2,94,PSO,728.9827998154058,40,20,20
27,Sphere,2,94,BBO,524.810931366417,40,20,20
28,Sphere,3,794,NormGA,947.6052358575718,40,20,20
29,Sphere,3,794,imprvGA,165.66043708436274,40,20,20
30,Sphere,3,794,PSO,1704.9956559622456,40,20,20
31,Sphere,3,794,BBO,1983.4018066643741,40,20,20
32,Sphere,4,300,NormGA,872.9739687559966,40,20,20
33,Sphere,4,300,imprvGA,181.78134946327197,40,20,20
34,Sphere,4,300,PSO,870.9778094178117,40,20,20
35,Sphere,4,300,BBO,1218.0,40,20,20
36,Sphere,5,972,NormGA,419.4060947472089,40,20,20
37,Sphere,5,972,imprvGA,601.0543192030934,40,20,20
38,Sphere,5,972,PSO,738.9892669258817,40,20,20
39,Sphere,5,972,BBO,1828.33353341384,40,20,20
40,Rosenbrock,1,718,NormGA,29150508.117045797,40,20,20
41,Rosenbrock,1,718,imprvGA,5816884.157692765,40,20,20
42,Rosenbrock,1,718,PSO,26477465.13206527,40,20,20
43,Rosenbrock,1,718,BBO,250957024.81035662,40,20,20
44,Rosenbrock,2,94,NormGA,26249856.834156845,40,20,20
45,Rosenbrock,2,94,imprvGA,2567298.675392922,40,20,20
46,Rosenbrock,2,94,PSO,14659947.309675097,40,20,20
47,Rosenbrock,2,94,BBO,100415054.2399989,40,20,20
48,Rosenbrock,3,794,NormGA,6055107.516631259,40,20,20
49,Rosenbrock,3,794,imprvGA,4437046.896567045,40,20,20
50,Rosenbrock,3,794,PSO,2009797.9275437337,40,20,20
51,Rosenbrock,3,794,BBO,24016527.664636888,40,20,20
52,Rosenbrock,4,300,NormGA,21173513.59003239,40,20,20
53,Rosenbrock,4,300,imprvGA,275303.4795423956,40,20,20
54,Rosenbrock,4,300,PSO,1450028.9871134243,40,20,20
55,Rosenbrock,4,300,BBO,20279378.894654967,40,20,20
56,Rosenbrock,5,972,NormGA,50579775.32440222,40,20,20
57,Rosenbrock,5,972,imprvGA,2113652.315027855,40,20,20
58,Rosenbrock,5,972,PSO,11567353.248462657,40,20,20
59,Rosenbrock,5,972,BBO,25123558.812658034,40,20,20
60,StyblinskiTang,1,718,NormGA,40066.338078415625,40,20,20
61,StyblinskiTang,1,718,imprvGA,47402.25272133184,40,20,20
62,StyblinskiTang,1,718,PSO,29637.071979278524,40,20,20
63,StyblinskiTang,1,718,BBO,819739.3061098827,40,20,20
64,StyblinskiTang,2,94,NormGA,86995.1506889714,40,20,20
65,StyblinskiTang,2,94,imprvGA,189200.5303451944,40,20,20
66,StyblinskiTang,2,94,PSO,288347.3270343201,40,20,20
67,StyblinskiTang,2,94,BBO,222075.38412278448,40,20,20
68,StyblinskiTang,3,794,NormGA,209145.5732961331,40,20,20
69,StyblinskiTang,3,794,imprvGA,21228.18820833947,40,20,20
70,StyblinskiTang,3,794,PSO,12207.641780962844,40,20,20
71,StyblinskiTang,3,794,BBO,703315.521763661,40,20,20
72,StyblinskiTang,4,300,NormGA,65399.40668542536,40,20,20
73,StyblinskiTang,4,300,imprvGA,46966.60593489436,40,20,20
74,StyblinskiTang,4,300,PSO,42545.361222400745,40,20,20
75,StyblinskiTang,4,300,BBO,64189.359736494414,40,20,20
