,function,run,seed,algo,func_val,pop_size,max_iter,best_iter
0,Ackley,1,906,NormGA,18.872918457132613,40,20,20
1,Ackley,1,906,imprvGA,19.882512001017265,40,20,20
2,Ackley,1,906,PSO,19.99328235497634,40,20,20
3,Ackley,1,906,BBO,19.7141837802091,40,20,20
4,Ackley,2,279,NormGA,19.920530160835202,40,20,20
5,Ackley,2,279,imprvGA,19.844613812165672,40,20,20
6,Ackley,2,279,PSO,19.97292418626522,40,20,20
7,Ackley,2,279,BBO,18.973569976493195,40,20,20
8,Ackley,3,477,NormGA,19.95065271903352,40,20,20
9,Ackley,3,477,imprvGA,19.975754191698766,40,20,20
10,Ackley,3,477,PSO,19.99204906447009,40,20,20
11,Ackley,3,477,BBO,19.571379465425895,40,20,20
12,Ackley,4,630,NormGA,18.93248831853916,40,20,20
13,Ackley,4,630,imprvGA,19.91449002944001,40,20,20
14,Ackley,4,630,PSO,19.995170503833762,40,20,20
15,Ackley,4,630,BBO,18.737258138817396,40,20,20
16,Ackley,5,315,NormGA,19.812097834472034,40,20,20
17,Ackley,5,315,imprvGA,19.443562600096815,40,20,20
18,Ackley,5,315,PSO,19.986866236923166,40,20,20
19,Ackley,5,315,BBO,18.29974555579893,40,20,20
20,Sphere,1,906,NormGA,577.3033553451555,40,20,20
21,Sphere,1,906,imprvGA,546.1013436710926,40,20,20
22,Sphere,1,906,PSO,1217.417483795185,40,20,20
23,Sphere,1,906,BBO,1690.6981042600585,40,20,20
24,Sphere,2,279,NormGA,1697.3244280560812,40,20,20
25,Sphere,2,279,imprvGA,324.064471032334,40,20,20
26,Sphere,2,279,PSO,838.5301006094559,40,20,20
27,Sphere,2,279,BBO,966.4264367944797,40,20,20
28,Sphere,3,477,NormGA,1035.5487305787906,40,20,20
29,Sphere,3,477,imprvGA,387.4794662331555,40,20,20
30,Sphere,3,477,PSO,1964.7844798271285,40,20,20
31,Sphere,3,477,BBO,828.3335334138401,40,20,20
32,Sphere,4,630,NormGA,1494.3370177714503,40,20,20
33,Sphere,4,630,imprvGA,530.3523780126429,40,20,20
34,Sphere,4,630,PSO,800.4162244322148,40,20,20
35,Sphere,4,630,BBO,775.2985357231718,40,20,20
36,Sphere,5,315,NormGA,872.1453423463486,40,20,20
37,Sphere,5,315,imprvGA,276.7428871926907,40,20,20
38,Sphere,5,315,PSO,670.1025054470297,40,20,20
39,Sphere,5,315,BBO,1229.0404282351806,40,20,20
40,Rosenbrock,1,906,NormGA,62940497.201586485,40,20,20
41,Rosenbrock,1,906,imprvGA,8948469.370539265,40,20,20
42,Rosenbrock,1,906,PSO,13341660.63130765,40,20,20
43,Rosenbrock,1,906,BBO,618137441.887143,40,20,20
44,Rosenbrock,2,279,NormGA,8950268.094944833,40,20,20
45,Rosenbrock,2,279,imprvGA,3384753.11376463,40,20,20
46,Rosenbrock,2,279,PSO,181712751.04417682,40,20,20
47,Rosenbrock,2,279,BBO,72374436.0,40,20,20
48,Rosenbrock,3,477,NormGA,8790487.256480334,40,20,20
49,Rosenbrock,3,477,imprvGA,13995669.714758487,40,20,20
50,Rosenbrock,3,477,PSO,2580285.279893486,40,20,20
51,Rosenbrock,3,477,BBO,168895186.37878686,40,20,20
52,Rosenbrock,4,630,NormGA,1806429.516023866,40,20,20
53,Rosenbrock,4,630,imprvGA,49551873.6754549,40,20,20
54,Rosenbrock,4,630,PSO,925496.716887036,40,20,20
55,Rosenbrock,4,630,BBO,16620844.34885437,40,20,20
56,Rosenbrock,5,315,NormGA,44967216.9633289,40,20,20
57,Rosenbrock,5,315,imprvGA,10689769.619020168,40,20,20
58,Rosenbrock,5,315,PSO,24840051.050134443,40,20,20
59,Rosenbrock,5,315,BBO,97235839.4117732,40,20,20
60,StyblinskiTang,1,906,NormGA,349174.05182064814,40,20,20
61,StyblinskiTang,1,906,imprvGA,108951.47904638958,40,20,20
62,StyblinskiTang,1,906,PSO,51605.12926874936,40,20,20
63,StyblinskiTang,1,906,BBO,598501.3369168334,40,20,20
64,StyblinskiTang,2,279,NormGA,58346.113100081166,40,20,20
65,StyblinskiTang,2,279,imprvGA,49299.604718605115,40,20,20
66,StyblinskiTang,2,279,PSO,267252.3076628071,40,20,20
67,StyblinskiTang,2,279,BBO,49827.24845986897,40,20,20
68,StyblinskiTang,3,477,NormGA,201109.7456697606,40,20,20
69,StyblinskiTang,3,477,imprvGA,4647.979182644447,40,20,20
70,StyblinskiTang,3,477,PSO,124641.44109019764,40,20,20
71,StyblinskiTang,3,477,BBO,336706.7979345472,40,20,20
72,StyblinskiTang,4,630,NormGA,5749.464883129799,40,20,20
73,StyblinskiTang,4,630,imprvGA,15333.990995775952,40,20,20
74,StyblinskiTang,4,630,PSO,722425.8373664296,40,20,20
75,StyblinskiTang,4,630,BBO,285835.55866874143,40,20,20
76,StyblinskiTang,5,315,NormGA,2551.9574109292703,40,20,20
77,StyblinskiTang,5,315,imprvGA,68221.4106845202,40,20,20
78,StyblinskiTang,5,315,PSO,87283.88644661242,40,20,20
79,StyblinskiTang,5,315,BBO,1286982.2023771151,40,20,20
80,DeJongsF1,1,906,NormGA,577.3033553451555,40,20,20
81,DeJongsF1,1,906,imprvGA,546.1013436710926,40,20,20
82,DeJongsF1,1,906,PSO,1217.417483795185,40,20,20
83,DeJongsF1,1,906,BBO,1690.6981042600585,40,20,20
84,DeJongsF1,2,279,NormGA,1697.3244280560812,40,20,20
85,DeJongsF1,2,279,imprvGA,324.064471032334,40,20,20
86,DeJongsF1,2,279,PSO,838.5301006094559,40,20,20
87,DeJongsF1,2,279,BBO,966.4264367944797,40,20,20
88,DeJongsF1,3,477,NormGA,1035.5487305787906,40,20,20
89,DeJongsF1,3,477,imprvGA,387.4794662331555,40,20,20
90,DeJongsF1,3,477,PSO,1964.7844798271285,40,20,20
91,DeJongsF1,3,477,BBO,828.3335334138401,40,20,20
92,DeJongsF1,4,630,NormGA,1494.3370177714503,40,20,20
93,DeJongsF1,4,630,imprvGA,530.3523780126429,40,20,20
94,DeJongsF1,4,630,PSO,800.4162244322148,40,20,20
95,DeJongsF1,4,630,BBO,775.2985357231718,40,20,20
96,DeJongsF1,5,315,NormGA,872.1453423463486,40,20,20
97,DeJongsF1,5,315,imprvGA,276.7428871926907,40,20,20
98,DeJongsF1,5,315,PSO,670.1025054470297,40,20,20
99,DeJongsF1,5,315,BBO,1229.0404282351806,40,20,20
100,DeJongsF2,1,906,NormGA,62940497.201586485,40,20,20
101,DeJongsF2,1,906,imprvGA,8948469.370539265,40,20,20
102,DeJongsF2,1,906,PSO,13341660.63130765,40,20,20
103,DeJongsF2,1,906,BBO,618137441.887143,40,20,20
104,DeJongsF2,2,279,NormGA,8950268.094944833,40,20,20
105,DeJongsF2,2,279,imprvGA,3384753.11376463,40,20,20
106,DeJongsF2,2,279,PSO,181712751.04417682,40,20,20
107,DeJongsF2,2,279,BBO,72374436.0,40,20,20
108,DeJongsF2,3,477,NormGA,8790487.256480334,40,20,20
109,DeJongsF2,3,477,imprvGA,13995669.714758487,40,20,20
110,DeJongsF2,3,477,PSO,2580285.279893486,40,20,20
111,DeJongsF2,3,477,BBO,168895186.37878686,40,20,20
112,DeJongsF2,4,630,NormGA,1806429.516023866,40,20,20
113,DeJongsF2,4,630,imprvGA,49551873.6754549,40,20,20
114,DeJongsF2,4,630,PSO,925496.716887036,40,20,20
115,DeJongsF2,4,630,BBO,16620844.34885437,40,20,20
116,DeJongsF2,5,315,NormGA,44967216.9633289,40,20,20
117,DeJongsF2,5,315,imprvGA,10689769.619020168,40,20,20
118,DeJongsF2,5,315,PSO,24840051.050134443,40,20,20
119,DeJongsF2,5,315,BBO,97235839.4117732,40,20,20
120,Ellipsoid,1,906,NormGA,12495783.946601303,40,20,20
121,Ellipsoid,1,906,imprvGA,6075754.371265452,40,20,20
122,Ellipsoid,1,906,PSO,4220849.964316049,40,20,20
123,Ellipsoid,1,906,BBO,8567033.943394331,40,20,20
124,Ellipsoid,2,279,NormGA,2022945.2542043421,40,20,20
125,Ellipsoid,2,279,imprvGA,4647108.131436028,40,20,20
126,Ellipsoid,2,279,PSO,7394993.376704218,40,20,20
127,Ellipsoid,2,279,BBO,6984179.678993006,40,20,20
128,Ellipsoid,3,477,NormGA,464318.7783130211,40,20,20
129,Ellipsoid,3,477,imprvGA,985312.3272892387,40,20,20
130,Ellipsoid,3,477,PSO,4078358.8954616566,40,20,20
131,Ellipsoid,3,477,BBO,19857827.49511345,40,20,20
132,Ellipsoid,4,630,NormGA,3160422.6365723885,40,20,20
133,Ellipsoid,4,630,imprvGA,2089599.1747035086,40,20,20
134,Ellipsoid,4,630,PSO,4787562.597359287,40,20,20
135,Ellipsoid,4,630,BBO,8014681.561611724,40,20,20
136,Ellipsoid,5,315,NormGA,791999.5297018931,40,20,20
137,Ellipsoid,5,315,imprvGA,6825002.375260033,40,20,20
138,Ellipsoid,5,315,PSO,1121636.3458330892,40,20,20
139,Ellipsoid,5,315,BBO,16097852.158971693,40,20,20
140,KTablet,1,906,NormGA,1155939.2004899373,40,20,20
141,KTablet,1,906,imprvGA,1620781.777610926,40,20,20
142,KTablet,1,906,PSO,2475717.8137444844,40,20,20
143,KTablet,1,906,BBO,1142936.9340579247,40,20,20
144,KTablet,2,279,NormGA,2976269.9562974162,40,20,20
145,KTablet,2,279,imprvGA,269305.5339017652,40,20,20
146,KTablet,2,279,PSO,10687180.665887589,40,20,20
147,KTablet,2,279,BBO,2023123.1571346438,40,20,20
148,KTablet,3,477,NormGA,2099197.1505475696,40,20,20
149,KTablet,3,477,imprvGA,1945811.0294792315,40,20,20
150,KTablet,3,477,PSO,7790045.216050003,40,20,20
151,KTablet,3,477,BBO,9544525.45213899,40,20,20
152,KTablet,4,630,NormGA,7413982.554607405,40,20,20
153,KTablet,4,630,imprvGA,846251.8445155296,40,20,20
154,KTablet,4,630,PSO,3757279.531781563,40,20,20
155,KTablet,4,630,BBO,3899214.66394627,40,20,20
156,KTablet,5,315,NormGA,729457.857875651,40,20,20
157,KTablet,5,315,imprvGA,5279635.855656803,40,20,20
158,KTablet,5,315,PSO,2937258.8318142314,40,20,20
159,KTablet,5,315,BBO,4944421.535055135,40,20,20
160,WeightedSphere,1,906,NormGA,1943.8956323981395,40,20,20
161,WeightedSphere,1,906,imprvGA,2456.2172761283973,40,20,20
162,WeightedSphere,1,906,PSO,2339.6180367929414,40,20,20
163,WeightedSphere,1,906,BBO,4697.54700701758,40,20,20
164,WeightedSphere,2,279,NormGA,4600.424889193775,40,20,20
165,WeightedSphere,2,279,imprvGA,3424.9407936860225,40,20,20
166,WeightedSphere,2,279,PSO,1660.6414016931633,40,20,20
167,WeightedSphere,2,279,BBO,2707.33353341384,40,20,20
168,WeightedSphere,3,477,NormGA,4189.728913138753,40,20,20
169,WeightedSphere,3,477,imprvGA,1723.5109328492804,40,20,20
170,WeightedSphere,3,477,PSO,3720.5615499679407,40,20,20
171,WeightedSphere,3,477,BBO,19520.159440491894,40,20,20
172,WeightedSphere,4,630,NormGA,1684.0111616039978,40,20,20
173,WeightedSphere,4,630,imprvGA,2087.727676236203,40,20,20
174,WeightedSphere,4,630,PSO,2779.293918521023,40,20,20
175,WeightedSphere,4,630,BBO,2989.273308754052,40,20,20
176,WeightedSphere,5,315,NormGA,2208.24357750196,40,20,20
177,WeightedSphere,5,315,imprvGA,2084.5387895085214,40,20,20
178,WeightedSphere,5,315,PSO,4750.904515995506,40,20,20
179,WeightedSphere,5,315,BBO,5966.085676727511,40,20,20
180,HyperEllipsodic,1,906,NormGA,1943.8956323981395,40,20,20
181,HyperEllipsodic,1,906,imprvGA,2456.2172761283973,40,20,20
182,HyperEllipsodic,1,906,PSO,2339.6180367929414,40,20,20
183,HyperEllipsodic,1,906,BBO,4697.54700701758,40,20,20
184,HyperEllipsodic,2,279,NormGA,4600.424889193775,40,20,20
185,HyperEllipsodic,2,279,imprvGA,3424.9407936860225,40,20,20
186,HyperEllipsodic,2,279,PSO,1660.6414016931633,40,20,20
187,HyperEllipsodic,2,279,BBO,2707.33353341384,40,20,20
188,HyperEllipsodic,3,477,NormGA,4189.728913138753,40,20,20
