,function,run,seed,algo,func_val,pop_size,best_iter
0,Ackley,1,290,NormGA,19.970029149287868,10,0
1,Ackley,1,290,imprvGA,19.985564679087833,10,0
2,Ackley,1,290,PSO,19.99347405666472,10,0
3,Ackley,1,290,BBO,19.877057611215076,10,0
4,Ackley,2,273,NormGA,19.994921164977885,10,0
5,Ackley,2,273,imprvGA,19.938400895868625,10,0
6,Ackley,2,273,PSO,19.994921164977885,10,0
7,Ackley,2,273,BBO,19.937878917175315,10,0
8,Ackley,3,386,NormGA,19.99832951669191,10,0
9,Ackley,3,386,imprvGA,19.992823796450725,10,0
10,Ackley,3,386,PSO,19.998370996548473,10,0
11,Ackley,3,386,BBO,19.74358061020611,10,0
12,Ackley,4,146,NormGA,19.995426536710013,10,0
13,Ackley,4,146,imprvGA,19.990421705641406,10,0
14,Ackley,4,146,PSO,19.995776654798167,10,0
15,Ackley,4,146,BBO,19.967129145465428,10,0
16,Ackley,5,938,NormGA,19.999483655550748,10,0
17,Ackley,5,938,imprvGA,19.99861195875622,10,0
18,Ackley,5,938,PSO,19.999483655550748,10,0
19,Ackley,5,938,BBO,19.977240283701555,10,0
20,Sphere,1,290,NormGA,1106.7905680327685,10,0
21,Sphere,1,290,imprvGA,632.6278106615421,10,0
22,Sphere,1,290,PSO,1994.2018585199612,10,0
23,Sphere,1,290,BBO,2463.5942220901334,10,0
24,Sphere,2,273,NormGA,472.9461110337825,10,0
25,Sphere,2,273,imprvGA,695.9689216407212,10,0
26,Sphere,2,273,PSO,429.03440605351483,10,0
27,Sphere,2,273,BBO,4437.305815136155,10,0
28,Sphere,3,386,NormGA,1504.6616231731186,10,0
29,Sphere,3,386,imprvGA,728.9989685808613,10,0
30,Sphere,3,386,PSO,1424.4844127665824,10,0
31,Sphere,3,386,BBO,3475.2227740139015,10,0
32,Sphere,4,146,NormGA,1433.3582957993967,10,0
33,Sphere,4,146,imprvGA,607.3462950309927,10,0
34,Sphere,4,146,PSO,2631.4053664530798,10,0
35,Sphere,4,146,BBO,6016.141486932565,10,0
36,Sphere,5,938,NormGA,366.6751039961804,10,0
37,Sphere,5,938,imprvGA,507.4441922356341,10,0
38,Sphere,5,938,PSO,3779.6005976623783,10,0
39,Sphere,5,938,BBO,6394.843509429236,10,0
40,Rosenbrock,1,290,NormGA,2457355.845227375,10,0
41,Rosenbrock,1,290,imprvGA,10922603.407704845,10,0
42,Rosenbrock,1,290,PSO,68408184.4035098,10,0
43,Rosenbrock,1,290,BBO,760497057.3653243,10,0
44,Rosenbrock,2,273,NormGA,16336646.301496794,10,0
45,Rosenbrock,2,273,imprvGA,9271158.260929085,10,0
46,Rosenbrock,2,273,PSO,56591072.46459382,10,0
47,Rosenbrock,2,273,BBO,445350235.443962,10,0
48,Rosenbrock,3,386,NormGA,1959094.35233775,10,0
49,Rosenbrock,3,386,imprvGA,49200824.713704474,10,0
50,Rosenbrock,3,386,PSO,33325682.509106122,10,0
51,Rosenbrock,3,386,BBO,507124766.8218273,10,0
52,Rosenbrock,4,146,NormGA,8176165.887954797,10,0
53,Rosenbrock,4,146,imprvGA,9874140.712806545,10,0
54,Rosenbrock,4,146,PSO,15853700.880200768,10,0
55,Rosenbrock,4,146,BBO,1186895702.014186,10,0
56,Rosenbrock,5,938,NormGA,4330918.317205446,10,0
57,Rosenbrock,5,938,imprvGA,3571382.7065786775,10,0
58,Rosenbrock,5,938,PSO,38489768.46898147,10,0
59,Rosenbrock,5,938,BBO,1583060659.3302834,10,0
60,StyblinskiTang,1,290,NormGA,285628.38307847374,10,0
61,StyblinskiTang,1,290,imprvGA,36309.67299129388,10,0
62,StyblinskiTang,1,290,PSO,250683.198313143,10,0
63,StyblinskiTang,1,290,BBO,3927320.1520597506,10,0
64,StyblinskiTang,2,273,NormGA,139064.95477114644,10,0
65,StyblinskiTang,2,273,imprvGA,79517.43080564277,10,0
66,StyblinskiTang,2,273,PSO,167015.6681935735,10,0
67,StyblinskiTang,2,273,BBO,2192218.694782089,10,0
68,StyblinskiTang,3,386,NormGA,289766.94122879626,10,0
69,StyblinskiTang,3,386,imprvGA,45791.35474589765,10,0
70,StyblinskiTang,3,386,PSO,50834.131850333164,10,0
71,StyblinskiTang,3,386,BBO,5090991.50303001,10,0
72,StyblinskiTang,4,146,NormGA,285628.38307847374,10,0
73,StyblinskiTang,4,146,imprvGA,20222.07191941164,10,0
74,StyblinskiTang,4,146,PSO,899210.2127563307,10,0
75,StyblinskiTang,4,146,BBO,2115553.3163878396,10,0
76,StyblinskiTang,5,938,NormGA,140866.75637788922,10,0
77,StyblinskiTang,5,938,imprvGA,151700.36589862994,10,0
78,StyblinskiTang,5,938,PSO,359208.82158140256,10,0
79,StyblinskiTang,5,938,BBO,6431938.529752098,10,0
80,DeJongsF1,1,290,NormGA,1106.7905680327685,10,0
81,DeJongsF1,1,290,imprvGA,632.6278106615421,10,0
82,DeJongsF1,1,290,PSO,1994.2018585199612,10,0
83,DeJongsF1,1,290,BBO,2463.5942220901334,10,0
84,DeJongsF1,2,273,NormGA,472.9461110337825,10,0
85,DeJongsF1,2,273,imprvGA,695.9689216407212,10,0
86,DeJongsF1,2,273,PSO,429.03440605351483,10,0
87,DeJongsF1,2,273,BBO,4437.305815136155,10,0
88,DeJongsF1,3,386,NormGA,1504.6616231731186,10,0
89,DeJongsF1,3,386,imprvGA,728.9989685808613,10,0
90,DeJongsF1,3,386,PSO,1424.4844127665824,10,0
91,DeJongsF1,3,386,BBO,3475.2227740139015,10,0
92,DeJongsF1,4,146,NormGA,1433.3582957993967,10,0
93,DeJongsF1,4,146,imprvGA,607.3462950309927,10,0
94,DeJongsF1,4,146,PSO,2631.4053664530798,10,0
95,DeJongsF1,4,146,BBO,6016.141486932565,10,0
96,DeJongsF1,5,938,NormGA,366.6751039961804,10,0
97,DeJongsF1,5,938,imprvGA,507.4441922356341,10,0
98,DeJongsF1,5,938,PSO,3779.6005976623783,10,0
99,DeJongsF1,5,938,BBO,6394.843509429236,10,0
100,DeJongsF2,1,290,NormGA,2457355.845227375,10,0
101,DeJongsF2,1,290,imprvGA,10922603.407704845,10,0
102,DeJongsF2,1,290,PSO,68408184.4035098,10,0
103,DeJongsF2,1,290,BBO,760497057.3653243,10,0
104,DeJongsF2,2,273,NormGA,16336646.301496794,10,0
105,DeJongsF2,2,273,imprvGA,9271158.260929085,10,0
106,DeJongsF2,2,273,PSO,56591072.46459382,10,0
107,DeJongsF2,2,273,BBO,445350235.443962,10,0
108,DeJongsF2,3,386,NormGA,1959094.35233775,10,0
109,DeJongsF2,3,386,imprvGA,49200824.713704474,10,0
110,DeJongsF2,3,386,PSO,33325682.509106122,10,0
111,DeJongsF2,3,386,BBO,507124766.8218273,10,0
112,DeJongsF2,4,146,NormGA,8176165.887954797,10,0
113,DeJongsF2,4,146,imprvGA,9874140.712806545,10,0
114,DeJongsF2,4,146,PSO,15853700.880200768,10,0
115,DeJongsF2,4,146,BBO,1186895702.014186,10,0
116,DeJongsF2,5,938,NormGA,4330918.317205446,10,0
117,DeJongsF2,5,938,imprvGA,3571382.7065786775,10,0
118,DeJongsF2,5,938,PSO,38489768.46898147,10,0
119,DeJongsF2,5,938,BBO,1583060659.3302834,10,0
120,Ellipsoid,1,290,NormGA,3796850.9100770615,10,0
121,Ellipsoid,1,290,imprvGA,2193758.5977714765,10,0
122,Ellipsoid,1,290,PSO,19941852.41736224,10,0
123,Ellipsoid,1,290,BBO,295707795.6191337,10,0
124,Ellipsoid,2,273,NormGA,2682792.1293853777,10,0
125,Ellipsoid,2,273,imprvGA,1275888.501460283,10,0
126,Ellipsoid,2,273,PSO,3526807.107568845,10,0
127,Ellipsoid,2,273,BBO,96776574.67387941,10,0
128,Ellipsoid,3,386,NormGA,2723560.494917678,10,0
129,Ellipsoid,3,386,imprvGA,1706401.6869534284,10,0
130,Ellipsoid,3,386,PSO,17210420.605720878,10,0
131,Ellipsoid,3,386,BBO,124220030.53312196,10,0
132,Ellipsoid,4,146,NormGA,2424641.931930676,10,0
133,Ellipsoid,4,146,imprvGA,28222130.84045345,10,0
134,Ellipsoid,4,146,PSO,12597408.691332668,10,0
135,Ellipsoid,4,146,BBO,40917016.59571207,10,0
136,Ellipsoid,5,938,NormGA,12278181.101720814,10,0
137,Ellipsoid,5,938,imprvGA,1646259.9811326338,10,0
138,Ellipsoid,5,938,PSO,16557261.668283891,10,0
