,function,run,seed,algo,func_val,pop_size,max_iter,best_iter
0,Ackley,1,365,NormGA,10.275757266411311,15,10,10
1,Ackley,1,365,imprvGA,3.286699648424272,15,10,10
2,Ackley,1,365,PSO,5.345892880339155,15,10,10
3,Ackley,1,365,BBO,10.138626172095204,15,10,10
4,Ackley,2,642,NormGA,12.734405765794374,15,10,10
5,Ackley,2,642,imprvGA,3.380611877446488,15,10,10
6,Ackley,2,642,PSO,12.02662480931142,15,10,10
7,Ackley,2,642,BBO,19.5411373189987,15,10,10
8,Ackley,3,968,NormGA,19.592589414580953,15,10,10
9,Ackley,3,968,imprvGA,10.42736632428535,15,10,10
10,Ackley,3,968,PSO,6.507139662998776,15,10,10
11,Ackley,3,968,BBO,19.52697014392479,15,10,10
12,Ackley,4,872,NormGA,19.2639896221898,15,10,10
13,Ackley,4,872,imprvGA,3.0132193450220175,15,10,10
14,Ackley,4,872,PSO,7.337574816868914,15,10,10
15,Ackley,4,872,BBO,18.987476737018586,15,10,10
16,Ackley,5,260,NormGA,19.749479359746505,15,10,10
17,Ackley,5,260,imprvGA,15.752134818998517,15,10,10
18,Ackley,5,260,PSO,13.234166865336197,15,10,10
19,Ackley,5,260,BBO,18.437600912164374,15,10,10
20,Sphere,1,365,NormGA,26.0,15,10,10
21,Sphere,1,365,imprvGA,1.028541912311748,15,10,10
22,Sphere,1,365,PSO,0.3471832257276994,15,10,10
23,Sphere,1,365,BBO,25.0,15,10,10
24,Sphere,2,642,NormGA,16.0153874437878,15,10,10
25,Sphere,2,642,imprvGA,3.9400992728756155,15,10,10
26,Sphere,2,642,PSO,14.470092573562923,15,10,10
27,Sphere,2,642,BBO,422.9125972331852,15,10,10
28,Sphere,3,968,NormGA,284.62957123974974,15,10,10
29,Sphere,3,968,imprvGA,3.9400992728756155,15,10,10
30,Sphere,3,968,PSO,10.772665096182974,15,10,10
31,Sphere,3,968,BBO,965.0,15,10,10
32,Sphere,4,872,NormGA,167.22712229633058,15,10,10
33,Sphere,4,872,imprvGA,3.9400992728756155,15,10,10
34,Sphere,4,872,PSO,63.25205482728576,15,10,10
35,Sphere,4,872,BBO,905.0,15,10,10
36,Sphere,5,260,NormGA,72.22712229633058,15,10,10
37,Sphere,5,260,imprvGA,7.865939132913509,15,10,10
38,Sphere,5,260,PSO,10.933089059056412,15,10,10
39,Sphere,5,260,BBO,85.0,15,10,10
40,Rosenbrock,1,365,NormGA,367.90252709304843,15,10,10
41,Rosenbrock,1,365,imprvGA,1.9542074745165705,15,10,10
42,Rosenbrock,1,365,PSO,250.83706401410467,15,10,10
43,Rosenbrock,1,365,BBO,2501.0,15,10,10
44,Rosenbrock,2,642,NormGA,75.44787264291863,15,10,10
45,Rosenbrock,2,642,imprvGA,34.11390668176434,15,10,10
46,Rosenbrock,2,642,PSO,1176.4940793287728,15,10,10
47,Rosenbrock,2,642,BBO,136909.0,15,10,10
48,Rosenbrock,3,968,NormGA,200.98627108640622,15,10,10
49,Rosenbrock,3,968,imprvGA,13.900758233008313,15,10,10
50,Rosenbrock,3,968,PSO,3378.7170987077307,15,10,10
51,Rosenbrock,3,968,BBO,8116.0,15,10,10
52,Rosenbrock,4,872,NormGA,466.08046183310023,15,10,10
53,Rosenbrock,4,872,imprvGA,959.3719965954884,15,10,10
54,Rosenbrock,4,872,PSO,72.66655772939004,15,10,10
55,Rosenbrock,4,872,BBO,384569.0,15,10,10
56,Rosenbrock,5,260,NormGA,102.71278968677912,15,10,10
57,Rosenbrock,5,260,imprvGA,86.81728230783303,15,10,10
58,Rosenbrock,5,260,PSO,582.7912355737329,15,10,10
59,Rosenbrock,5,260,BBO,6464.0,15,10,10
60,StyblinskiTang,1,365,NormGA,75.21603209745867,15,10,10
61,StyblinskiTang,1,365,imprvGA,-34.040503462823665,15,10,10
62,StyblinskiTang,1,365,PSO,-49.43818484732492,15,10,10
63,StyblinskiTang,1,365,BBO,90.0,15,10,10
64,StyblinskiTang,2,642,NormGA,2643.5779030640015,15,10,10
65,StyblinskiTang,2,642,imprvGA,228.94495924930814,15,10,10
66,StyblinskiTang,2,642,PSO,79.37154461061185,15,10,10
67,StyblinskiTang,2,642,BBO,82239.06030238364,15,10,10
68,StyblinskiTang,3,968,NormGA,789.7188461030123,15,10,10
69,StyblinskiTang,3,968,imprvGA,-32.95330996695291,15,10,10
70,StyblinskiTang,3,968,PSO,-77.25748002506371,15,10,10
71,StyblinskiTang,3,968,BBO,262421.0,15,10,10
72,StyblinskiTang,4,872,NormGA,77546.57412201814,15,10,10
73,StyblinskiTang,4,872,imprvGA,-53.34295870394458,15,10,10
74,StyblinskiTang,4,872,PSO,97.42757716672895,15,10,10
75,StyblinskiTang,4,872,BBO,56231.0,15,10,10
76,StyblinskiTang,5,260,NormGA,57274.88543713738,15,10,10
77,StyblinskiTang,5,260,imprvGA,81.7258519877737,15,10,10
78,StyblinskiTang,5,260,PSO,-54.93755161758898,15,10,10
79,StyblinskiTang,5,260,BBO,1136.0,15,10,10
80,DeJongsF1,1,365,NormGA,26.0,15,10,10
81,DeJongsF1,1,365,imprvGA,1.028541912311748,15,10,10
82,DeJongsF1,1,365,PSO,0.3471832257276994,15,10,10
83,DeJongsF1,1,365,BBO,25.0,15,10,10
84,DeJongsF1,2,642,NormGA,16.0153874437878,15,10,10
85,DeJongsF1,2,642,imprvGA,3.9400992728756155,15,10,10
86,DeJongsF1,2,642,PSO,14.470092573562923,15,10,10
87,DeJongsF1,2,642,BBO,422.9125972331852,15,10,10
88,DeJongsF1,3,968,NormGA,284.62957123974974,15,10,10
89,DeJongsF1,3,968,imprvGA,3.9400992728756155,15,10,10
90,DeJongsF1,3,968,PSO,10.772665096182974,15,10,10
91,DeJongsF1,3,968,BBO,965.0,15,10,10
92,DeJongsF1,4,872,NormGA,167.22712229633058,15,10,10
93,DeJongsF1,4,872,imprvGA,3.9400992728756155,15,10,10
