,run,train acc,test acc,n,m
0,1,0.9989908739908739,0.8520831200737026,31,6
1,2,0.9933309933309933,0.8480908997850343,13,9
2,3,1.0,0.8550516941345071,167,18
3,4,1.0,0.8569966219674481,145,15
4,5,0.9996489996489997,0.8538233186610708,54,13
5,6,0.997060372060372,0.8459412427065206,19,2
6,7,1.0,0.8550516941345071,118,7
7,8,1.0,0.8568942573446617,197,12
8,9,1.0,0.853618589415498,136,11
9,10,0.9997367497367498,0.8510594738458389,54,8
10,11,0.9996051246051246,0.8498310983724024,45,4
11,12,1.0,0.8513665677141979,78,4
12,13,1.0,0.8572013512130208,122,17
13,14,1.0,0.8534138601699253,124,5
14,15,0.9986837486837487,0.8532091309243526,36,16
15,16,1.0,0.8573037158358071,105,17
16,17,1.0,0.8579179035725253,145,16
17,18,1.0,0.8563824342307299,120,17
18,19,1.0,0.8572013512130208,122,17
19,20,1.0,0.8558706111167981,135,19
20,21,1.0,0.8541304125294298,194,13
21,22,1.0,0.8572013512130208,122,17
22,23,1.0,0.8570989865902344,186,12
23,24,1.0,0.8564847988535162,152,17
24,25,1.0,0.8561777049851571,125,15
25,26,1.0,0.8565871634763026,104,15
26,27,1.0,0.8534138601699253,197,6
27,28,1.0,0.8570989865902344,105,16
28,29,1.0,0.8569966219674481,132,17
29,30,1.0,0.8579179035725253,145,16
30,31,1.0,0.8582249974408844,160,14
31,32,1.0,0.8502405568635479,145,3
32,33,1.0,0.8572013512130208,126,17
33,34,1.0,0.8564847988535162,154,17
34,35,1.0,0.8573037158358071,105,17
35,36,0.9937258687258688,0.8523902139420616,16,16
36,37,1.0,0.8568942573446617,130,17
37,38,1.0,0.853618589415498,145,8
38,39,1.0,0.8579179035725253,145,16
39,40,1.0,0.8545398710205753,160,10
40,41,0.9986398736398736,0.8530044016787798,32,10
41,42,1.0,0.8563824342307299,120,17
42,43,1.0,0.8563824342307299,110,14
43,44,0.9982011232011232,0.8535162247927116,25,14
44,45,0.986969111969112,0.8494216398812571,10,14
45,46,1.0,0.8564847988535162,105,14
46,47,1.0,0.8570989865902344,160,17
47,48,0.9994734994734995,0.8497287337496161,44,4
48,49,1.0,0.8570989865902344,160,17
49,50,1.0,0.8567918927218753,105,15
50,51,1.0,0.8533114955471389,105,9
51,52,1.0,0.8550516941345071,105,6
52,53,1.0,0.8569966219674481,109,16
53,54,1.0,0.8544375063977889,160,13
54,55,1.0,0.8578155389497389,135,15
55,56,1.0,0.8541304125294298,168,6
56,57,1.0,0.8582249974408844,160,14
57,58,1.0,0.8582249974408844,160,14
58,59,1.0,0.8582249974408844,160,14
59,60,1.0,0.8550516941345071,170,18
60,61,0.9999122499122499,0.8549493295117208,67,17
61,62,0.9998683748683749,0.8535162247927116,63,5
62,63,0.9997367497367498,0.8468625243115979,47,1
63,64,1.0,0.8497287337496161,145,2
64,65,1.0,0.8584297266864571,136,15
65,66,1.0,0.8546422356433616,135,7
66,67,1.0,0.8569966219674481,145,15
67,68,1.0,0.8539256832838571,160,8
68,69,1.0,0.8572013512130208,100,14
69,70,1.0,0.8555635172484389,145,19
70,71,1.0,0.8575084450813799,141,15
71,72,1.0,0.853618589415498,145,8
72,73,1.0,0.8578155389497389,135,15
73,74,1.0,0.8582249974408844,160,14
74,75,1.0,0.8569966219674481,145,15
75,76,1.0,0.8568942573446617,148,14
76,77,1.0,0.8577131743269526,156,14
77,78,1.0,0.8503429214863343,174,2
78,79,1.0,0.8574060804585935,117,15
79,80,0.999034749034749,0.8543351417750026,40,14
80,81,0.9971919971919971,0.8514689323369843,24,10
81,82,1.0,0.8542327771522162,145,10
82,83,1.0,0.8533114955471389,145,9
83,84,1.0,0.8537209540382844,136,8
84,85,1.0,0.8569966219674481,145,15
85,86,0.9986398736398736,0.8512642030914116,29,15
86,87,1.0,0.8575084450813799,136,16
87,88,1.0,0.8560753403623708,108,15
88,89,1.0,0.8584297266864571,136,15
89,90,1.0,0.8562800696079435,136,14
90,91,1.0,0.8576108097041663,154,14
91,92,0.9965338715338715,0.8507523799774798,17,14
92,93,1.0,0.8573037158358071,160,16
93,94,0.9991663741663742,0.8547446002661481,41,14
94,95,1.0,0.8570989865902344,99,14
95,96,1.0,0.8562800696079435,136,14
96,97,1.0,0.8582249974408844,160,15
97,98,1.0,0.8486027228989661,130,2
98,99,1.0,0.8569966219674481,145,15
99,100,1.0,0.8573037158358071,160,16
100,101,1.0,0.8575084450813799,155,15
101,102,1.0,0.8527996724332071,160,4
102,103,1.0,0.8551540587572934,106,10
103,104,1.0,0.8498310983724024,136,3
104,105,1.0,0.8567918927218753,91,15
105,106,1.0,0.8567918927218753,193,14
106,107,0.9957002457002457,0.8476814412938888,20,9
107,108,1.0,0.8562800696079435,111,15
108,109,1.0,0.8504452861091207,123,3
109,110,1.0,0.8584297266864571,198,15
110,111,1.0,0.8562800696079435,136,14
111,112,0.9985521235521235,0.8530044016787798,30,16
112,113,1.0,0.8584297266864571,136,15
113,114,1.0,0.8549493295117208,90,5
114,115,1.0,0.8587368205548163,193,15
115,116,1.0,0.8584297266864571,136,15
116,117,1.0,0.8584297266864571,136,15
117,118,1.0,0.8557682464940116,132,14
118,119,1.0,0.8539256832838571,136,18
119,120,1.0,0.8541304125294298,151,9
120,121,1.0,0.8584297266864571,136,15
121,122,0.9978501228501229,0.8503429214863343,28,15
122,123,1.0,0.8584297266864571,136,15
123,124,1.0,0.8587368205548163,193,15
124,125,1.0,0.8574060804585935,144,15
125,126,1.0,0.8587368205548163,193,15
126,127,1.0,0.8514689323369843,193,3
127,128,0.9976746226746227,0.8487050875217524,23,15
128,129,1.0,0.8570989865902344,152,15
