,run,train acc,test acc,n,m
0,1,1.0,0.9649122807017544,31,6
1,2,0.9956043956043956,0.956140350877193,13,9
2,3,1.0,0.9736842105263158,167,18
3,4,1.0,0.956140350877193,145,15
4,5,1.0,0.9649122807017544,54,13
5,6,1.0,0.956140350877193,19,2
6,7,1.0,0.9736842105263158,118,7
7,8,1.0,0.9736842105263158,197,12
8,9,1.0,0.9649122807017544,136,11
9,10,1.0,0.9649122807017544,54,8
10,11,1.0,0.9298245614035088,45,4
11,12,1.0,0.9473684210526315,78,4
12,13,1.0,0.9736842105263158,122,17
13,14,1.0,0.9736842105263158,124,5
14,15,1.0,0.9649122807017544,36,16
15,16,1.0,0.9649122807017544,154,11
16,17,1.0,0.9736842105263158,31,16
17,18,0.9978021978021978,0.9736842105263158,6,18
18,19,1.0,0.9736842105263158,99,13
19,20,1.0,0.9736842105263158,178,6
20,21,1.0,0.9736842105263158,136,16
21,22,1.0,0.9649122807017544,104,15
22,23,1.0,0.9736842105263158,122,14
23,24,1.0,0.9736842105263158,31,16
24,25,1.0,0.9736842105263158,31,16
25,26,1.0,0.9824561403508771,122,16
26,27,1.0,0.956140350877193,133,14
27,28,1.0,0.9736842105263158,122,12
28,29,1.0,0.9736842105263158,110,17
29,30,1.0,0.9649122807017544,194,13
30,31,1.0,0.9736842105263158,122,17
31,32,1.0,0.9649122807017544,99,19
32,33,1.0,0.9736842105263158,197,12
33,34,1.0,0.9385964912280702,105,1
34,35,1.0,0.9649122807017544,6,13
35,36,1.0,0.9824561403508771,121,7
36,37,1.0,0.9736842105263158,132,17
37,38,1.0,0.9649122807017544,108,13
38,39,1.0,0.9649122807017544,128,13
39,40,1.0,0.9736842105263158,41,7
40,41,1.0,0.9736842105263158,197,10
41,42,1.0,0.9736842105263158,194,8
42,43,1.0,0.9736842105263158,118,7
43,44,1.0,0.9736842105263158,182,8
44,45,1.0,0.9736842105263158,121,12
45,46,1.0,0.9649122807017544,99,19
46,47,1.0,0.9736842105263158,121,13
47,48,1.0,0.9736842105263158,122,7
48,49,1.0,0.9649122807017544,115,13
49,50,1.0,0.9649122807017544,183,9
50,51,1.0,0.9649122807017544,112,13
51,52,1.0,0.9649122807017544,132,18
52,53,1.0,0.9736842105263158,189,18
53,54,1.0,0.9736842105263158,27,18
54,55,0.9978021978021978,0.9649122807017544,6,7
