,run,train acc,test acc,n,m
0,1,1.0,0.9624277456647399,31,6
1,2,0.0,0.0,13,9
2,3,0.0,0.0,167,18
3,4,0.0,0.0,145,15
4,5,0.0,0.0,54,13
5,6,1.0,0.9566473988439307,19,2
6,7,0.0,0.0,118,7
7,8,0.0,0.0,197,12
8,9,0.0,0.0,136,11
9,10,0.0,0.0,54,8
10,11,1.0,0.9624277456647399,45,4
11,12,1.0,0.9624277456647399,78,4
12,13,0.0,0.0,122,17
13,14,1.0,0.9653179190751445,124,5
14,15,0.0,0.0,36,16
15,16,0.9992764109985528,0.9566473988439307,19,6
16,17,1.0,0.9566473988439307,23,2
17,18,1.0,0.9595375722543352,31,5
18,19,1.0,0.9739884393063584,124,6
19,20,1.0,0.9653179190751445,83,4
20,21,1.0,0.9595375722543352,55,4
21,22,1.0,0.9653179190751445,124,5
22,23,1.0,0.9682080924855492,117,4
23,24,1.0,0.9682080924855492,152,5
24,25,1.0,0.9624277456647399,44,6
25,26,1.0,0.9739884393063584,124,6
26,27,1.0,0.9739884393063584,120,6
27,28,0.0,0.0,83,13
28,29,1.0,0.9682080924855492,184,4
29,30,0.0,0.0,160,14
30,31,1.0,0.9653179190751445,105,5
31,32,0.0,0.0,124,17
32,33,1.0,0.9653179190751445,124,5
33,34,1.0,0.9682080924855492,80,5
34,35,1.0,0.976878612716763,117,6
35,36,1.0,0.976878612716763,117,6
36,37,1.0,0.9739884393063584,124,6
37,38,1.0,0.9739884393063584,120,6
38,39,1.0,0.976878612716763,117,6
39,40,1.0,0.9739884393063584,120,6
40,41,1.0,0.976878612716763,117,6
41,42,1.0,0.9624277456647399,34,6
42,43,1.0,0.9739884393063584,120,6
43,44,0.0,0.0,117,11
44,45,1.0,0.9739884393063584,120,6
45,46,0.0,0.0,89,12
46,47,1.0,0.9624277456647399,64,6
47,48,0.0,0.0,117,11
48,49,0.0,0.0,117,13
49,50,0.0,0.0,70,10
50,51,0.0,0.0,117,7
51,52,0.0,0.0,54,19
52,53,1.0,0.976878612716763,117,6
53,54,1.0,0.9682080924855492,124,4
54,55,1.0,0.9739884393063584,123,6
55,56,1.0,0.9739884393063584,124,6
56,57,1.0,0.9739884393063584,121,6
57,58,1.0,0.9653179190751445,67,6
58,59,1.0,0.9739884393063584,124,6
59,60,1.0,0.9450867052023122,47,1
60,61,1.0,0.9624277456647399,124,1
61,62,1.0,0.9653179190751445,117,2
62,63,0.9949348769898697,0.9450867052023122,6,6
63,64,0.0,0.0,117,7
64,65,1.0,0.976878612716763,117,6
65,66,1.0,0.976878612716763,117,6
66,67,1.0,0.976878612716763,117,6
67,68,1.0,0.9739884393063584,168,6
68,69,0.0,0.0,117,13
69,70,1.0,0.9682080924855492,78,6
70,71,0.0,0.0,83,10
71,72,0.0,0.0,117,16
72,73,1.0,0.9710982658959537,141,6
73,74,1.0,0.976878612716763,117,6
74,75,1.0,0.9739884393063584,156,6
75,76,1.0,0.976878612716763,117,6
76,77,1.0,0.976878612716763,117,6
77,78,0.0,0.0,24,10
78,79,1.0,0.976878612716763,117,6
79,80,0.0,0.0,117,9
80,81,1.0,0.9710982658959537,145,6
81,82,1.0,0.976878612716763,117,6
82,83,1.0,0.976878612716763,117,6
83,84,1.0,0.976878612716763,117,6
84,85,1.0,0.976878612716763,117,6
85,86,1.0,0.9739884393063584,108,6
86,87,1.0,0.976878612716763,117,6
87,88,1.0,0.976878612716763,117,6
88,89,1.0,0.9739884393063584,151,6
89,90,0.0,0.0,117,10
90,91,0.9985528219971056,0.9479768786127167,12,6
91,92,0.0,0.0,107,10
92,93,1.0,0.976878612716763,117,6
93,94,1.0,0.976878612716763,117,6
94,95,1.0,0.9710982658959537,141,6
95,96,1.0,0.976878612716763,117,6
96,97,1.0,0.976878612716763,117,6
97,98,0.0,0.0,117,16
98,99,1.0,0.976878612716763,117,6
99,100,1.0,0.976878612716763,117,6
100,101,0.9949348769898697,0.9450867052023122,6,6
101,102,1.0,0.9624277456647399,35,6
102,103,1.0,0.976878612716763,117,6
103,104,0.0,0.0,117,8
104,105,1.0,0.976878612716763,117,6
105,106,1.0,0.9739884393063584,106,6
106,107,1.0,0.9624277456647399,54,6
107,108,1.0,0.976878612716763,117,6
108,109,1.0,0.976878612716763,117,6
109,110,1.0,0.9653179190751445,117,3
110,111,1.0,0.976878612716763,117,6
111,112,1.0,0.976878612716763,117,6
112,113,1.0,0.9739884393063584,126,6
113,114,0.0,0.0,117,16
114,115,1.0,0.976878612716763,117,6
