,run,train acc,test acc,n,m
0,1,1.0,0.95775,31,6
1,2,0.99975,0.94375,13,9
2,3,0.0,0.0,167,18
3,4,1.0,0.94125,145,15
4,5,1.0,0.946,54,13
5,6,1.0,0.946,19,2
6,7,1.0,0.9595,118,7
7,8,1.0,0.952,197,12
8,9,1.0,0.95425,136,11
9,10,1.0,0.954,54,8
10,11,1.0,0.961,45,4
11,12,1.0,0.9635,78,4
12,13,0.0,0.0,122,17
13,14,1.0,0.96375,124,5
14,15,1.0,0.9355,36,16
15,16,1.0,0.96375,124,5
16,17,1.0,0.956,124,10
17,18,1.0,0.9625,59,5
18,19,1.0,0.9415,124,15
19,20,1.0,0.93675,124,16
20,21,1.0,0.95975,136,7
21,22,1.0,0.9625,184,6
22,23,1.0,0.956,124,9
23,24,1.0,0.96375,124,5
24,25,1.0,0.963,169,5
25,26,0.0,0.0,178,17
26,27,1.0,0.96275,61,5
27,28,0.996,0.922,6,10
28,29,1.0,0.96375,155,5
29,30,1.0,0.96375,181,5
30,31,0.0,0.0,124,19
31,32,0.0,0.0,124,18
32,33,1.0,0.9535,124,1
33,34,1.0,0.945,160,14
34,35,1.0,0.956,106,8
35,36,1.0,0.9625,80,5
36,37,1.0,0.9635,170,5
37,38,1.0,0.96425,154,5
38,39,0.0,0.0,124,17
39,40,1.0,0.96225,124,2
40,41,1.0,0.9505,167,13
41,42,1.0,0.96375,151,5
42,43,1.0,0.96175,83,5
43,44,1.0,0.96425,154,5
44,45,1.0,0.96375,130,5
45,46,0.9999375,0.95075,32,10
46,47,1.0,0.94125,154,15
47,48,1.0,0.96125,154,2
48,49,1.0,0.95525,154,1
49,50,1.0,0.95525,165,1
50,51,1.0,0.9455,154,14
51,52,1.0,0.96425,154,5
52,53,1.0,0.96425,154,5
53,54,1.0,0.96025,44,4
54,55,1.0,0.9375,154,16
55,56,1.0,0.94125,153,15
56,57,1.0,0.95625,154,9
57,58,1.0,0.9425,98,15
58,59,1.0,0.958,59,2
59,60,1.0,0.96425,154,5
60,61,1.0,0.96425,154,5
61,62,1.0,0.96425,110,5
62,63,1.0,0.9635,154,4
63,64,1.0,0.96225,63,5
64,65,1.0,0.9565,154,10
65,66,1.0,0.96425,154,5
66,67,1.0,0.9565,154,10
67,68,0.0,0.0,154,18
68,69,1.0,0.96225,67,5
69,70,1.0,0.948,22,9
70,71,0.9999375,0.9405,14,2
71,72,0.9885625,0.901,4,5
72,73,1.0,0.962,145,2
73,74,1.0,0.95775,186,8
74,75,1.0,0.96,196,7
75,76,1.0,0.94125,151,15
76,77,1.0,0.9585,154,8
77,78,1.0,0.96425,154,5
78,79,1.0,0.96425,154,5
79,80,1.0,0.95175,191,12
80,81,0.99975,0.94525,14,5
81,82,1.0,0.9585,154,8
82,83,1.0,0.9585,154,8
83,84,1.0,0.96425,154,5
84,85,1.0,0.96425,154,5
85,86,1.0,0.957,33,5
86,87,1.0,0.96025,154,7
87,88,1.0,0.96425,154,5
88,89,1.0,0.95775,35,5
89,90,1.0,0.96375,155,5
90,91,1.0,0.96425,154,5
91,92,1.0,0.9545,154,11
92,93,1.0,0.96175,55,5
93,94,1.0,0.95625,121,8
94,95,1.0,0.96425,154,5
95,96,1.0,0.96425,154,5
96,97,1.0,0.96375,114,5
97,98,1.0,0.96225,81,5
98,99,1.0,0.9435,68,14
99,100,1.0,0.9635,106,5
100,101,1.0,0.96425,154,5
101,102,0.9941875,0.875,6,1
102,103,1.0,0.95525,186,11
103,104,1.0,0.95525,151,11
104,105,1.0,0.96425,137,5
105,106,0.977875,0.876,3,5
106,107,1.0,0.96425,154,5
107,108,1.0,0.96125,154,2
108,109,1.0,0.96175,172,2
109,110,1.0,0.9565,154,10
110,111,1.0,0.96425,154,5
111,112,1.0,0.96425,154,5
112,113,1.0,0.9455,154,14
113,114,1.0,0.95125,154,13
114,115,0.9999375,0.94925,17,5
115,116,1.0,0.96425,154,5
116,117,1.0,0.95525,154,1
117,118,1.0,0.9375,154,16
118,119,1.0,0.96425,154,5
119,120,1.0,0.9635,160,4
120,121,1.0,0.9565,106,10
121,122,1.0,0.96375,144,3
122,123,1.0,0.94175,91,15
123,124,0.0,0.0,154,19
124,125,1.0,0.96125,154,2
125,126,1.0,0.9625,168,5
126,127,1.0,0.96425,111,5
127,128,1.0,0.95525,25,5
128,129,1.0,0.9625,154,6
129,130,1.0,0.96425,154,5
130,131,1.0,0.963,149,5
131,132,0.999875,0.9335,30,16
132,133,1.0,0.9455,154,14
133,134,1.0,0.95425,86,8
134,135,0.9324375,0.82125,2,5
135,136,1.0,0.95125,154,13
136,137,1.0,0.96375,156,5
137,138,1.0,0.95975,181,7
138,139,1.0,0.9455,154,14
139,140,1.0,0.96425,154,5
140,141,1.0,0.9415,113,15
141,142,1.0,0.96425,154,5
142,143,1.0,0.9455,154,14
143,144,1.0,0.96425,154,5
144,145,1.0,0.96425,154,5
145,146,1.0,0.96425,154,5
146,147,1.0,0.96425,154,5
147,148,1.0,0.9635,118,3
148,149,1.0,0.9645,153,5
149,150,1.0,0.96375,121,5
150,151,1.0,0.9645,154,3
151,152,0.0,0.0,139,18
152,153,0.0,0.0,154,18
153,154,0.0,0.0,154,18
154,155,0.0,0.0,57,17
